Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Feast On Fire,Madipakkam,"['Chinese', ' South Indian', ' North Indian']",Favourite Dishe,500.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Jaya Hotel,Neelangarai,"['North Indian', ' Chinese']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Indoor Seating']"
Healthy Home Made Juices,Mylapore,['Juices'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.4,23,['Home Delivery']
Psychdelic Corner,Thuraipakkam,"['Fast Food', ' Beverages']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Akshaya Restaurant,Perungudi,"['South Indian', ' Chinese']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
M.K.Snacks Juice,K.K. Nagar,"['Beverages', ' Juices']",Favourite Dishe,100.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Mr. Tamizhan Unavagam,Semmancheri,"['Chinese', ' South Indian', ' Biryani']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Cane Elixir,RA Puram,"['Beverages', ' Street Food', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Food Zone,Selaiyur,"['Chinese', ' North Indian']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Nakshatra Foods,Mylapore,['South Indian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
